,Tweet
151,"Unterschiedliche Information: von ""3 Familien"" bis ""ca. 5000 Syrer"" konnten die syrisch-türkische Grenze passieren. Nun von ISIS geschlossen"
152,"Belangrijke slag, om Syrisch-Turkse grensplaats Tel Abyad, nu nog in handen van IS.  https://t.co/4cSG8TZMB6"
153,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange - Drama an der syrisch-türkischen Grenze: ISIS-Milizen und türk... http://t.co/GUSIzPBmtN
154,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/3a4fFUvB5R
155,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/ZbOhyQzgYx
156,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/2SfyNthzxO
157,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/30lKLVYF4L
158,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/XwC4QLPr6t
159,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/8k5gaUaVYo
160,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/eMAaz05Y9Z
161,"Drama an der syrisch-türkischen Grenze: #ISIS-Milizen und türkische Grenztruppen drängen Flüchtlinge zurück.
http://t.co/tueEFLSJvk"
162,"Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange: 

Drama an der syrisch-türkischen Grenze: ISIS-Milizen u... http://t.co/QLhoucYuhs"
163,Grenz-Drama - Flüchtlinge in der ISIS-Türken-Zange:  Drama an der syrisch-türkischen Grenze: ISIS-Milizen und ... http://t.co/AagzVc9ClN
164,Wat gij niet wilt dat u geschiedt…: De Syrisch-katholieke patriarch Yousef III Yonan is een van de vijf patria... http://t.co/uWcWozZTfD
